80 ,55 ,37 ,17 ,52 , 7 ,14 ,41
69 ,34 ,21 ,20 ,57 ,12 ,39 ,13
83 ,49 ,97 ,25 ,82 ,32 ,39 ,86
98 ,24 ,68 ,26 ,17 ,84 ,79 ,57
41 ,38 ,42 ,69 ,34 ,88 ,14 , 7
27 , 1 ,57 ,46 ,59 ,13 ,53 ,63
29 ,30 ,47 , 8 ,44 ,66 ,62 ,62
48 ,67 ,73 ,14 ,87 ,57 ,71 , 5,

31 , 2 ,26 ,71 ,58 ,63 ,20 ,83
 8 ,36 ,77 ,82 ,40 ,53 ,94 ,23
10 ,98 ,10 ,60 ,63 ,96 ,25 , 5
45 ,99 ,88 ,56 ,92 ,13 ,64 ,64
36 ,43 ,37 ,94 ,65 ,86 ,82 ,35
44 ,98 ,36 ,55 ,13 , 6 , 9 ,51
92 ,83 ,40 ,71 ,33 ,14 ,57 ,76
64 ,93 ,94 ,49 ,77 ,62 ,86 ,62
